text,label
press ctrl on bottom right its there ky,1
ah remember the days when youd sleep in until noon well guess who did that today god i feel like a loser,0
my momma is comin 2night 2morrow tennis day with pnar yuppie,2
i do that all the time,1
we dont feel too comfortable using it its not awful but pretty icky scurrying to find a deal,0
getttin ready,1
working until10,1
good luck tonight have fun,2
happy birthday mel we miss you in the uk,1
everyone vote for for the mtv movie awards coz my comp is mashed up and wont let me vote i will somehow,0
good luck c have funn,2
same its just not happening and im going out too uhoh,0
it is so annoying when she starts typing on her computer in the middle of the night,0
ugh rude,0
any chance of seeing you at a race in germany unfortunately hardly any tv news coverage of cycling here anymore,0
wow im tired going to bed good night,1
i miss my 8703,0
i miss mcfly last night so much i was front row centre danny was making me laugh so much lol,1
dont you have a uk say now,1
havent twittered in forever yeah just had my sixteenth birthday party tonight,1
possible case of h1n1 at ft knox ky note this is for info purposes only so theres still no need to panic,1
gosh im freakin bored talk to me,0
this is what pundits are paid forhow will tv channels and websites run otherwise,1
what are you doing here i thought you were back at work today,1
rp rp rp my crackheres mine i just threw up in my mouth lil bitits my legs lol,1
ok point taken ill tell my team to stop our cynical championing of standards activex is far better anyway,2
hoping i didnt fail english that would just be sad,2
did 15 mins on expresso cycling 3 miles and beat my last time by 40 seconds then lower body weights now ready for work,1
excited for today but still so much to do,2
dude i am so sorry i never got that number for you my fail i just remembered,0
in about two hours im setting out on a 600mile drive home mostly im hoping it goes quickly,2
says gud eve guys lets play poker yeah cant read my poker face,2
love the 3 mile 3am runs they make me smile,2
dissapointed in every wayconfused and damaged by the ugly love bug,0
work work work,1
oh and now mondays also mean new american dad so glad i watched that show so funny and it makes mondays even better,2
i like mr piggls i mean pickles,2
its a lie just like the restaraunt named garfields he is nowhere to be found,0
weather starting to be better so just shine,1
roasting to most probably death,0
im using paintnet x64 and its running crazily fast cant afford cs4 unfortunately yet,0
i love that song,2
but he got to do it with effy,1
oh my gosh hollyoaks was so sad tonite,0
lol i still would have got a look at his face just in case,1
made me want taco bell you sara oh well now im going to go change into my jammies now,1
horrible dreams last night also had one in which i was employedsigh if only,1
sure ill follow you hun ohh thank you are you a subscriber on my youtube,2
guy would luv to hear music too but im out of batteries the tv plays besides but i think this is some kind of vampire movie,2
yahoo great always nice to hear successful stories,2
aw im glad you do where would we be with out one,2
welcome back see you tomorrow come pick up your gift,2
lol if u knew better ud do better wouldnt wear uggs in shoe weather awww rip stack b,0
youtubes tubes appear to be clogging up somewhat today connection errors a plenty,0
the new resigned cricinfo i hate change,0
i can understand pains been part of my life for a long time now i hope you feel a bit better soon,1
good morning hope u all have a great day,2
some goodies bagged at the car boot including some very cute cross stitch birds for my craft room the man selling was a sweetie,2
happy that google wave is trending cant watch the video for it certain flash videos are blocked by my companys network,2
its summer and no one has textedcalled me im a loner,0
thx girl i just now woke up i cnt believe im sick now i have a fever wish i could pound nyquil this sucks,0
im in traffic on the 405 and i still dont see the sun,1
ooh but you soon get to meet the dung mice,1
going to get me a new roomie today,1
up and listening to the monsters,1
just got back fromahem meal4was boring but had to eat nonetheless,0
hey hey i got this custom designed one of a kind superfresh t over here with somebodies name on it collecting dust,1
i hate rain and people,0
come on bell ring i want to go outside,1
woooooo im seeing you in glasgow when you come september is agessss away but,2
haha its awesome i always have to use it when i eat,2
awww that sucks maybe its on youtube somewhere,0
thanx love,2
awww i wonder when ima get married shawna and damon are so cute,2
ahh okay makes sense to start the preparations now then,2
new constructions poping up all over there now,1
ah so 15 months im sure he is advanced and its not you being biased they seem to grow up faster these days now i sound old,1
sucks,0
